strategy_id,variant_id,symbol,market,timeframe,timestamp,direction,status,reason_code,context_note,setup_note,split_name
SF-004,quality_filter,SPY,US,5m,2026-02-20T11:35:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T11:40:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T11:45:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T11:50:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T11:55:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:00:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:05:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:10:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:15:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:20:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:25:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:30:00-05:00,short,skipped,weak_channel_resumption,"tight bearish channel detected, but resumption bar is weak",waiting for stronger continuation bar after micro pullback,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:35:00-05:00,short,skipped,weak_channel_resumption,"tight bearish channel detected, but resumption bar is weak",waiting for stronger continuation bar after micro pullback,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:40:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:45:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:50:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T12:55:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:00:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:05:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:10:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:15:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:20:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:25:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:30:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:35:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:40:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:45:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:50:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T13:55:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T14:00:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T14:05:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T14:10:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
SF-004,quality_filter,SPY,US,5m,2026-02-20T14:15:00-05:00,both,skipped,tight_channel_context_missing,tight-channel / Always-In context was not strong enough,waiting for low-overlap channel plus micro-pullback structure,in_sample
