cohort_id,cohort_label,direction,entry_price,entry_timestamp,exit_price,exit_reason,exit_timestamp,pnl,quality_flag,signal_timestamp,stop_price,strategy_id,symbol,target_price,timeframe,win
all_m12_24,原小范围全样本,short,610.0600,2012-04-16T16:00:00-04:00,558.2200,max_holding_exit,2012-05-14T16:00:00-04:00,761.98,m12_27_pa004_all_m12_24,2012-04-13T16:00:00-04:00,644.0000,M10-PA-004,AAPL,542.1800,1d,true
all_m12_24,原小范围全样本,short,667.2500,2012-08-31T16:00:00-04:00,680.8700,stop_hit,2012-09-07T16:00:00-04:00,-508.80,m12_27_pa004_all_m12_24,2012-08-30T16:00:00-04:00,680.8700,M10-PA-004,AAPL,640.0100,1d,false
all_m12_24,原小范围全样本,long,571.9100,2012-11-20T16:00:00-05:00,522.6200,stop_hit,2012-12-06T16:00:00-05:00,-502.38,m12_27_pa004_all_m12_24,2012-11-19T16:00:00-05:00,522.6200,M10-PA-004,AAPL,670.4900,1d,false
all_m12_24,原小范围全样本,long,553.8200,2013-01-02T16:00:00-05:00,501.2300,stop_hit,2013-01-14T16:00:00-05:00,-499.75,m12_27_pa004_all_m12_24,2012-12-31T16:00:00-05:00,501.2300,M10-PA-004,AAPL,659.0000,1d,false
all_m12_24,原小范围全样本,long,510.3100,2013-01-17T16:00:00-05:00,498.5100,stop_hit,2013-01-18T16:00:00-05:00,-500.50,m12_27_pa004_all_m12_24,2013-01-16T16:00:00-05:00,498.5100,M10-PA-004,AAPL,533.9100,1d,false
all_m12_24,原小范围全样本,long,435.6000,2013-03-12T16:00:00-04:00,468.8000,target_hit,2013-03-25T16:00:00-04:00,984.82,m12_27_pa004_all_m12_24,2013-03-11T16:00:00-04:00,419.0000,M10-PA-004,AAPL,468.8000,1d,true
all_m12_24,原小范围全样本,long,426.3600,2013-04-09T16:00:00-04:00,419.0000,stop_hit,2013-04-17T16:00:00-04:00,-504.40,m12_27_pa004_all_m12_24,2013-04-08T16:00:00-04:00,419.0000,M10-PA-004,AAPL,441.0800,1d,false
all_m12_24,原小范围全样本,short,451.5100,2013-05-13T16:00:00-04:00,437.6000,max_holding_exit,2013-06-11T16:00:00-04:00,371.88,m12_27_pa004_all_m12_24,2013-05-10T16:00:00-04:00,469.9500,M10-PA-004,AAPL,414.6300,1d,true
all_m12_24,原小范围全样本,short,458.6400,2013-08-09T16:00:00-04:00,471.8900,stop_hit,2013-08-13T16:00:00-04:00,-501.51,m12_27_pa004_all_m12_24,2013-08-08T16:00:00-04:00,471.8900,M10-PA-004,AAPL,432.1400,1d,false
all_m12_24,原小范围全样本,short,560.9000,2013-12-09T16:00:00-05:00,569.1900,stop_hit,2013-12-09T16:00:00-05:00,-502.26,m12_27_pa004_all_m12_24,2013-12-06T16:00:00-05:00,569.1900,M10-PA-004,AAPL,544.3200,1d,false
all_m12_24,原小范围全样本,short,588.6300,2014-05-16T16:00:00-04:00,604.4100,stop_hit,2014-05-19T16:00:00-04:00,-496.72,m12_27_pa004_all_m12_24,2014-05-15T16:00:00-04:00,604.4100,M10-PA-004,AAPL,557.0700,1d,false
all_m12_24,原小范围全样本,short,113.5000,2014-12-02T16:00:00-05:00,110.3800,max_holding_exit,2014-12-31T16:00:00-05:00,243.11,m12_27_pa004_all_m12_24,2014-12-01T16:00:00-05:00,119.7500,M10-PA-004,AAPL,101.0000,1d,true
all_m12_24,原小范围全样本,short,118.5500,2015-02-09T16:00:00-05:00,120.5100,stop_hit,2015-02-10T16:00:00-05:00,-497.72,m12_27_pa004_all_m12_24,2015-02-06T16:00:00-05:00,120.5100,M10-PA-004,AAPL,114.6300,1d,false
